"ID","名前","カテゴリ","説明文","レア度","基準レベル","価格","通常効果","軌道効果","攻撃力","ダメージ種別","掘削力","耐久力","重さ","画像番号","地面角度","リング角度","特殊タグ","効果テキスト","ST_C1","ST_R1","ST_S1","ST_C2","ST_R2","ST_S2","ST_C3","ST_R3","ST_S3","JK_C1","JK_R1","JK_S1","JK_C2","JK_R2","JK_S2","JK_C3","JK_R3","JK_S3","SC_C1","SC_R1","SC_S1","SC_C2","SC_R2","SC_S2","SC_C3","SC_R3","SC_S3","AS_C1","AS_R1","AS_S1","AS_C2","AS_R2","AS_S2","AS_C3","AS_R3","AS_S3","AS_C4","AS_R4","AS_S4","AS_C5","AS_R5","AS_S5","AS_C6","AS_R6","AS_S6","AS_C7","AS_R7","AS_S7","AS_C8","AS_R8","AS_S8","AS_C9","AS_R9","AS_S9"
"treasure_haiki_49","マナクリスタル","宝","魔力を帯びた結晶。リングに乗せると接触威力を高める。","4","16","670","none","terrain:dig:2:0","3","magic","2","30","0.22","115","0","fixed","treasure,gem,stone,magic,small,contact_damage","敵に魔法ダメージ（攻撃力3）","","","","","","","","","","","10","10","12","14","9","12","10","5","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_51","アクアマリン","宝","澄んだ青色の宝石。水の力を帯びており、リングに乗せると水の接触ダメージを与える。","3","15","500","none","terrain:dig:2:0","3","water","2","30","0.08","117","0","fixed","treasure,gem,stone,water,small,contact_damage","敵に水ダメージ（攻撃力3）","","","","","","","","","6","","11","9","14","12","7","11","8","4","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_52","ムーンストーンレンズ","宝","月の光を思わせるレンズ。暗い場所と隠れたものに反応する。","4","16","610","none","area:light:3:0;terrain:dig:1:0","3","blunt","1","12","0.18","118","0","fixed","treasure,gem,glass,stone,light_source,small,fragile,contact_damage","敵に打撃ダメージ（攻撃力3）｜周囲を照らす（光量1）","","","","","","","","","","","10","10","12","14","9","12","10","5","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_54","エーテル水晶","宝","軽い浮遊感を帯びた水晶。リングに乗せると軌道が少し外側へ広がる。","5","18","850","none","terrain:dig:2:0","4","magic","2","35","0.24","120","0","fixed","treasure,gem,stone,magic,small,contact_damage","敵に魔法ダメージ（攻撃力4）","","","","","","","","","","","","10","","13","11","12","14","9","7","7","3","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_56","黄金魔導石","宝","黄金魔導石。拠点で売却できる換金用の宝。","5","19","930","none","terrain:dig:4:0","5","magic","4","50","0.3","122","0","fixed","treasure,gem,stone,medium,contact_damage,magic","敵に魔法ダメージ（攻撃力5）","","","","","","","","","","","","9","","11","11","11","14","10","9","9","5","4","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_57","古代炉の輝石","宝","古代魔導炉の内部に残っていた輝石。強い火の力を帯びている。","5","19","940","none","orbit:cast_fire:2:0;terrain:dig:4:0","5","fire","4","60","0.32","123","0","fixed","treasure,gem,stone,fire,medium,contact_damage","敵に火ダメージ（攻撃力5）｜火魔法を発動する（威力2）","","","","","","","","","","","","9","","11","11","11","14","10","9","9","5","4","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_haiki_58","封印ジルコン","宝","封印術に使われていたジルコン。命中時、敵の動きを封じることがある。","5","20","1000","none","enemy:status_paralyze_chance:16:6;terrain:dig:2:0","3","magic","2","40","0.1","124","0","fixed","treasure,gem,stone,magic,sealed,small,contact_damage","敵に魔法ダメージ（攻撃力3）｜敵を麻痺させる（16%、6秒）","","","","","","","","","","","","7","","","11","9","14","11","11","11","6","5","5","2","1","1","1","1","1","","1","1","","1","1","","1","","","1","","","","","","","","","","","","","",""
"treasure_haiki_59","魔女王のジェード","宝","魔女王のジェード。拠点で売却できる換金用の宝。","6","20","1210","none","terrain:dig:2:0","3","blunt","2","40","0.16","125","0","fixed","treasure,gem,stone,royal,small,contact_damage","敵に打撃ダメージ（攻撃力3）","","","","","","","","","","","","8","","","12","8","15","12","10","11","7","5","5","3","1","1","1","1","1","","1","1","","1","1","","1","1","","","","","","","","","","","","","","","",""
"treasure_haiki_60","魔導貴族の首飾り","宝","魔導貴族の首飾り。拠点で売却できる換金用の宝。","6","20","1320","none","terrain:dig:1:0","5","blunt","1","50","0.22","126","0","fixed","treasure,relic,metal,stone,royal,small,jewelry,contact_damage","敵に打撃ダメージ（攻撃力5）","","","","","","","","","","","","8","","","12","8","15","12","10","11","7","5","5","3","1","1","1","1","1","","1","1","","1","1","","1","1","","","","","","","","","","","","","","","",""
"treasure_shinsou_61","黒曜結晶","宝","鋭い黒曜の結晶。リングに乗せると敵を切り裂く。","3","21","590","none","terrain:dig:5:0","6","slash","5","40","0.35","127","-25","outward","treasure,gem,stone,blade,small,contact_damage","敵に斬撃ダメージ（攻撃力6）","","","","","","","","","","","","","","","8","","11","9","14","11","6","9","6","3","3","2","1","2","1","","2","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","","","1","",""
"treasure_shinsou_62","蒼光輝石","宝","蒼い光を帯びた輝石。リングに乗せると周囲を照らす。","3","21","640","none","area:light:3:0;terrain:dig:4:0","5","magic","4","50","0.3","128","0","fixed","treasure,gem,stone,magic,light_source,medium,contact_damage","敵に魔法ダメージ（攻撃力5）｜周囲を照らす（光量2）","","","","","","","","","","","","","","","8","","11","9","14","11","6","9","6","3","3","2","1","2","1","","2","1","","1","1","","1","1","","1","1","","1","1","","1","1","","1","","","1","",""
"treasure_shinsou_63","重鉱石","宝","異様に重い鉱石。リングに乗せると軌道を重くし、接触威力を上げる。","3","22","620","none","orbit:[orbit_gravity,orbit_power]:[0.9,1.08]:0;terrain:dig:6:0","6","blunt","6","75","0.9","129","0","fixed","treasure,ore,stone,heavy,medium,gravity,contact_damage","敵に打撃ダメージ（攻撃力6）｜軌道をまとまりやすくする（0.9倍）｜軌道出力を変える（1.08倍）","","","","","","","","","","","","","","","7","","10","9","14","12","7","11","8","4","5","3","1","3","2","1","3","2","1","2","1","1","2","1","1","2","1","","2","1","","1","1","","1","1","","1","1",""
"treasure_shinsou_64","浮遊石","宝","わずかに浮く石。リングに乗せると軌道が外側へ広がる。","3","22","570","none","orbit:orbit_antigravity:1.16:0;terrain:dig:3:0","3","wind","3","35","0.05","130","0","fixed","treasure,ore,stone,wind,floating,small,contact_damage","敵に風ダメージ（攻撃力3）｜軌道を広げやすくする（1.16倍）","","","","","","","","","","","","","","","7","","10","9","14","12","7","11","8","4","5","3","1","3","2","1","3","2","1","2","1","1","2","1","1","2","1","","2","1","","1","1","","1","1","","1","1",""
"treasure_shinsou_65","黒ガラス片","宝","黒く透けるガラス片。鋭利だが壊れやすい。","3","22","560","none","terrain:dig:3:0","6","slash","3","9","0.16","131","-25","outward","treasure,glass,blade,small,fragile,contact_damage,fragment","敵に斬撃ダメージ（攻撃力6）","","","","","","","","","","","","","","","7","","10","9","14","12","7","11","8","4","5","3","1","3","2","1","3","2","1","2","1","1","2","1","1","2","1","","2","1","","1","1","","1","1","","1","1",""
"treasure_shinsou_66","透明な金属片","宝","透明な金属片。拠点で売却できる換金用の宝。","4","23","730","none","terrain:dig:4:0","7","slash","4","30","0.18","132","-25","outward","treasure,metal,small,fragment,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力7）","","","","","","","","","","","","","","","7","","","10","12","14","9","12","10","5","6","4","2","4","3","1","4","3","1","4","2","1","3","2","1","3","2","1","2","2","1","2","1","1","2","1","1","1","1",""
"treasure_shinsou_67","地底真珠","宝","地底真珠。拠点で売却できる換金用の宝。","4","23","720","none","terrain:dig:1:0","4","blunt","1","30","0.1","133","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力4）","","","","","","","","","","","","","","","7","","","10","12","14","9","12","10","5","6","4","2","4","3","1","4","3","1","4","2","1","3","2","1","3","2","1","2","2","1","2","1","1","2","1","1","1","1",""
"treasure_shinsou_72","沈む金塊","宝","手に持つと沈むように重い金塊。リングに乗せると強烈な打撃になる。","5","24","1080","none","terrain:dig:5:0","7","blunt","5","75","1.6","138","-10","fixed","treasure,metal,heavy,medium,contact_damage","敵に打撃ダメージ（攻撃力7）","","","","","","","","","","","","","","","","","","10","9","14","11","12","13","7","7","7","3","6","5","2","5","4","2","5","4","2","4","4","2","4","3","2","3","3","1","3","2","1","2","2","1","2","2","1"
"treasure_shinsou_73","黒曜の魔玉","宝","黒曜の魔玉。拠点で売却できる換金用の宝。","5","24","1020","none","terrain:dig:4:0","5","magic","4","50","0.35","139","0","spin:90","treasure,stone,medium,round,contact_damage,magic","敵に魔法ダメージ（攻撃力5）","","","","","","","","","","","","","","","","","","10","9","14","11","12","13","7","7","7","3","6","5","2","5","4","2","5","4","2","4","4","2","4","3","2","3","3","1","3","2","1","2","2","1","2","2","1"
"treasure_shinsou_74","蒼光の貴石","宝","蒼い光を放つ貴石。リングに乗せると明るく周囲を照らす。","5","24","1030","none","area:light:3:0;terrain:dig:2:0","4","magic","2","40","0.25","140","0","fixed","treasure,gem,stone,magic,light_source,small,contact_damage","敵に魔法ダメージ（攻撃力4）｜周囲を照らす（光量3）","","","","","","","","","","","","","","","","","","10","9","14","11","12","13","7","7","7","3","6","5","2","5","4","2","5","4","2","4","4","2","4","3","2","3","3","1","3","2","1","2","2","1","2","2","1"
"treasure_shinsou_76","サファイア","宝","深い青色の高級宝石。冷たい力を帯びており、リングに乗せると氷の接触ダメージを与える。","5","25","1030","none","terrain:dig:3:0","4","ice","3","35","0.08","142","0","fixed","treasure,gem,stone,ice,small,contact_damage","敵に氷ダメージ（攻撃力4）","","","","","","","","","","","","","","","","","","9","","13","11","12","14","9","9","9","5","8","7","3","7","6","3","6","6","3","6","5","2","5","4","2","4","4","2","4","3","2","3","3","1","3","2","1"
"treasure_shinsou_77","エメラルド","宝","エメラルド。拠点で売却できる換金用の宝。","5","25","1060","none","terrain:dig:3:0","4","blunt","3","30","0.08","143","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力4）","","","","","","","","","","","","","","","","","","9","","13","11","12","14","9","9","9","5","8","7","3","7","6","3","6","6","3","6","5","2","5","4","2","4","4","2","4","3","2","3","3","1","3","2","1"
"treasure_shinsou_78","ルビー","宝","赤く輝く高級宝石。リングに乗せると強い火の力をまとえる。","5","25","1080","none","orbit:cast_fire:2:0;terrain:dig:3:0","4","fire","3","40","0.08","144","0","fixed","treasure,gem,stone,fire,small,contact_damage","敵に火ダメージ（攻撃力4）｜火魔法を発動する（威力2）","","","","","","","","","","","","","","","","","","9","","13","11","12","14","9","9","9","5","8","7","3","7","6","3","6","6","3","6","5","2","5","4","2","4","4","2","4","3","2","3","3","1","3","2","1"
"treasure_shinsou_79","ダイヤモンド","宝","硬く輝く宝石。リングに乗せると鋭い打撃になり、急所に入りやすい。","6","26","1330","none","orbit:critical_chance:8:0;terrain:dig:6:0","4","pierce","6","45","0.08","145","0","fixed","treasure,gem,stone,pierce,small,contact_damage","敵に刺突ダメージ（攻撃力4）｜会心率を上げる（8%）","","","","","","","","","","","","","","","","","","8","","11","13","10","15","11","10","11","7","9","9","5","8","9","4","7","8","4","6","7","4","6","6","3","5","5","3","4","5","2","4","4","2","3","3","2"
"treasure_shinsou_81","アレキサンドライト","宝","光で色が変わる希少石。揺らぐ輝きで敵を混乱させることがある。","7","27","1670","none","enemy:status_confuse_chance:12:6;terrain:dig:3:0","4","magic","3","45","0.08","147","0","fixed","treasure,gem,stone,magic,small,contact_damage","敵に魔法ダメージ（攻撃力4）｜敵を混乱させる（12%、6秒）","","","","","","","","","","","","","","","","","","","","","13","7","15","13","9","14","9","9","12","7","8","11","6","7","10","6","7","9","5","6","8","5","5","7","4","4","6","3","4","5","3","3","4","2"
"treasure_shinsou_84","ベニトアイト","宝","ベニトアイト。拠点で売却できる換金用の宝。","7","27","1730","none","terrain:dig:3:0","5","blunt","3","40","0.08","150","0","fixed","treasure,gem,stone,small,contact_damage","敵に打撃ダメージ（攻撃力5）","","","","","","","","","","","","","","","","","","","","","13","7","15","13","9","14","9","9","12","7","8","11","6","7","10","6","7","9","5","6","8","5","5","7","4","4","6","3","4","5","3","3","4","2"
"treasure_shinsou_88","地底王の宝冠","宝","地底王の宝冠。拠点で売却できる換金用の宝。","8","29","2320","none","terrain:dig:4:0","10","slash","4","80","0.55","154","0","fixed","treasure,metal,stone,royal,medium,jewelry,contact_damage,blade,pointed","敵に斬撃ダメージ（攻撃力10）","","","","","","","","","","","","","","","","","","","","","12","","13","15","7","17","13","8","17","11","8","15","10","7","14","9","6","12","8","5","11","7","5","10","6","4","8","5","3","7","5","3","6","4"
"treasure_shinsou_89","黒曜の王笏","宝","黒曜の王笏。拠点で売却できる換金用の宝。","8","29","2240","none","terrain:dig:5:0","7","blunt","5","75","0.75","155","-35","outward","treasure,metal,stone,royal,medium,contact_damage","敵に打撃ダメージ（攻撃力7）","","","","","","","","","","","","","","","","","","","","","12","","13","15","7","17","13","8","17","11","8","15","10","7","14","9","6","12","8","5","11","7","5","10","6","4","8","5","3","7","5","3","6","4"
"treasure_shinsou_90","蒼光の大宝玉","宝","蒼い光を放つ大きな宝玉。リングに乗せると広範囲を照らす。","8","29","2320","none","area:light:5:0;terrain:dig:4:0","6","magic","4","70","0.5","156","0","spin:80","treasure,stone,magic,light_source,medium,round,contact_damage","敵に魔法ダメージ（攻撃力6）｜周囲を照らす（光量5）","","","","","","","","","","","","","","","","","","","","","12","","13","15","7","17","13","8","17","11","8","15","10","7","14","9","6","12","8","5","11","7","5","10","6","4","8","5","3","7","5","3","6","4"
"treasure_shinsou_91","地の女王の首飾り","宝","地の女王の名を持つ首飾り。守りと地の力を宿している。","8","29","2410","none","player:buff_defense:1.15:0;orbit:cast_earth:2:0;terrain:dig:2:0","5","earth","2","60","0.22","157","0","fixed","treasure,metal,stone,earth,royal,small,contact_damage,jewelry","敵に土ダメージ（攻撃力5）｜防御力を上げる（1.15倍）｜土魔法を発動する（威力2）","","","","","","","","","","","","","","","","","","","","","12","","13","15","7","17","13","8","17","11","8","15","10","7","14","9","6","12","8","5","11","7","5","10","6","4","8","5","3","7","5","3","6","4"
"treasure_shinsou_92","透明金属の聖杯","宝","透明な金属で作られた聖杯。器として水の力を受け流す。","8","29","2390","none","projectile:reflect_water_chance:30:0;terrain:dig:2:0","7","blunt","2","50","0.35","158","0","fixed","treasure,metal,holy,small,vessel,contact_damage","敵に打撃ダメージ（攻撃力7）｜水弾を確率で反射（30%）","","","","","","","","","","","","","","","","","","","","","12","","13","15","7","17","13","8","17","11","8","15","10","7","14","9","6","12","8","5","11","7","5","10","6","4","8","5","3","7","5","3","6","4"
"treasure_shinsou_93","星核の欠片","宝","落ちた星の核に近い鋭い欠片。光を放ち、速く回すほど危険な刃になる。","6","26","1460","none","orbit:[damage_speed,orbit_power]:[1.14,1.12]:0;area:light:2:0;terrain:dig:6:0","8","slash","6","55","0.28","159","-25","outward","treasure,stone,star_fragment,blade,light_source,small,contact_damage,fragment","敵に斬撃ダメージ（攻撃力8）｜速度によるダメージ補正を強める（1.14倍）｜軌道出力を変える（1.12倍）｜周囲を照らす（光量2）","","","","","","","","","","","","","","","","","","8","","11","13","10","15","11","10","11","7","9","9","5","8","9","4","7","8","4","6","7","4","6","6","3","5","5","3","4","5","2","4","4","2","3","3","2"
"treasure_shinsou_94","守護星の涙","宝","守護星の涙と呼ばれる希少な宝。光と守護の力を持つ。","8","30","2510","none","area:light:4:0;player:regen:0.25:0;terrain:dig:3:0","2","magic","3","55","0.12","160","0","fixed","treasure,stone,star_fragment,holy,light_source,small,contact_damage,magic","敵に魔法ダメージ（攻撃力2）｜周囲を照らす（光量4）","","","","","","","","","","","","","","","","","","","","","10","","","15","6","16","15","8","17","12","7","16","11","6","14","10","6","13","9","5","11","8","4","10","7","4","9","6","3","7","5","3","6","4"
"treasure_shinsou_95","落ちた星の外殻","宝","落ちた星の外側にあたる殻。硬い外殻として攻防に使える。","7","27","1940","none","projectile:guard_large:1:0;orbit:orbit_power:1.08:0;terrain:dig:6:0","6","blunt","6","80","0.45","161","-15","fixed","treasure,stone,star_fragment,medium,guard_large_projectile,contact_damage","敵に打撃ダメージ（攻撃力6）｜大型弾を防ぐ｜軌道出力を変える（1.08倍）","","","","","","","","","","","","","","","","","","","","","13","7","15","13","9","14","9","9","12","7","8","11","6","7","10","6","7","9","5","6","8","5","5","7","4","4","6","3","4","5","3","3","4","2"
"treasure_junk_barrel","タル","宝","古い木のタル。中身は空でも、リングで回せばそれなりに重い鈍器になる。","2","3","200","none","enemy:forced_critical_hit:1.6:0;item:break_wood_fragments:1:0;terrain:dig:3:0","4","blunt","3","50","1.2","162","0","fixed","treasure,wood,medium,container,contact_damage","敵に打撃ダメージ（攻撃力4）｜敵に当たると確定会心｜壊れると木片が出る｜土を掘れる（掘削力3）","12","12","8","16","11","5","10","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_pot","ツボ","宝","ひびの入ったツボ。割れやすいが、ぶつけた瞬間の衝撃は妙に鋭い。","2","3","200","none","enemy:forced_critical_hit:1.6:0;item:break_ceramic_shards:1:0;terrain:dig:2:0","3","blunt","2","14","0.6","163","0","spin:90","treasure,ceramic,fragile,medium,vessel,contact_damage","敵に打撃ダメージ（攻撃力3）｜敵に当たると確定会心｜壊れると陶器片が散る｜土を掘れる（掘削力2）","12","12","8","16","11","5","10","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_bed","ベッド","宝","どこかの部屋から流れ着いたベッド。ぶつけられた敵は眠気に引きずり込まれることがある。","4","14","570","none","enemy:status_sleep_chance:25:8;terrain:dig:2:0","4","blunt","2","100","4","164","0","fixed","treasure,wood,cloth,large,heavy,furniture,bedding,contact_damage,soft,fluffy","敵に打撃ダメージ（攻撃力4）｜敵を眠らせる（25%、8秒）｜土を掘れる（掘削力2）","","","","","","","","","8","10","13","10","13","12","7","8","6","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_futon","布団","宝","湿った布団。軽いが、リングで巻き込むと敵を眠たくさせることがある。","3","12","350","none","enemy:status_sleep_chance:20:6;terrain:dig:1:0","2","blunt","1","45","0.8","165","0","fixed","treasure,cloth,medium,bedding,contact_damage,soft,fluffy","敵に打撃ダメージ（攻撃力2）｜敵を眠らせる（20%、6秒）｜土を掘れる（掘削力1）","","","","","","6","","","9","14","12","7","11","8","4","5","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_tv","テレビ","宝","画面の割れた古いテレビ。点滅するノイズが敵の狙いを狂わせる。","5","16","710","none","enemy:status_blind:0.45:8;terrain:dig:2:0","5","magic","2","70","2.4","166","0","fixed","treasure,metal,glass,mechanical,appliance,medium,contact_damage","敵に魔法ダメージ（攻撃力5）｜敵を盲目にする（8秒）｜土を掘れる（掘削力2）","","","","","","","","","","","11","11","11","14","10","11","11","6","4","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_wine_bottle","酒瓶","宝","中身が少し残った酒瓶。当たると割れて、酒気で敵の足取りを乱す。","4","8","400","none","enemy:status_confuse_chance:100:8;item:break_glass_shards:1:0;terrain:dig:1:0","2","blunt","1","12","0.45","167","0","outward","treasure,glass,fragile,small,vessel,bottle,contact_damage","敵に打撃ダメージ（攻撃力2）｜敵を混乱させる（8秒）｜壊れるとガラス片が散る｜土を掘れる（掘削力1）","","","8","","10","10","12","14","9","8","6","3","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_refrigerator","冷蔵庫","宝","うなり続ける白い箱。回転すると冷気を吐き、敵を氷の衝撃で打つ。","6","20","950","none","area:cold_air_aura:2:8;enemy:status_frozen:1:8;terrain:dig:4:0","7","ice","4","105","5.6","168","0","fixed","treasure,metal,ice,water,large,heavy,mechanical,appliance,contact_damage","敵に氷ダメージ（攻撃力7）｜回転中に外側へ冷気を吹く｜敵を凍結させる（8秒、炎で解除）｜土を掘れる（掘削力4）","","","","","","","","","","","","8","","","12","8","15","12","10","11","7","5","5","3","1","1","1","1","1","","1","1","","1","1","","1","1","","","","","","","","","","","","","","","",""
"treasure_junk_vacuum","掃除機","宝","魔力の詰まった掃除機。軽いものを吸い寄せるようにリング軌道を内側へ寄せる。","5","15","680","none","area:vacuum_pull_light:1.2:0;terrain:dig:2:0","4","blunt","2","70","1.8","169","0","outward","treasure,metal,mechanical,appliance,medium,contact_damage","敵に打撃ダメージ（攻撃力4）｜軽い敵やアイテムを吸い寄せる｜土を掘れる（掘削力2）","","","","","","","","","7","","13","11","12","14","9","9","9","5","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_poison_planter","毒花の鉢植え","宝","毒々しい花の鉢植え。敵にぶつかると花粉と棘で毒を残す。","4","9","440","none","enemy:status_poison:1:6;terrain:dig:1:0","2","magic","1","13","0.5","170","0","fixed","treasure,ceramic,plant,potted,poison,small,fragile,contact_damage","敵に魔法ダメージ（攻撃力2）｜敵を毒にする（6秒）｜土を掘れる（掘削力1）","","","7","","","10","10","13","10","10","8","4","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_witch_broom","ほうき","宝","古いほうき。特別な魔法はないが、魔女の採掘場には妙に似合う。","3","5","310","none","terrain:dig:2:0","2","blunt","2","30","0.45","171","-25","outward","treasure,wood,small,witch_tool,contact_damage,bristle","敵に打撃ダメージ（攻撃力2）｜土を掘れる（掘削力2）","","10","9","13","13","8","13","10","5","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_wardrobe","タンス","宝","重い木製のタンス。敵にぶつかると小銭がこぼれ、壊れると中身が派手に散る。","5","16","770","none","enemy:hit_coin_spill:35:0;item:break_coin_spill:2:0;item:break_random_item_drop:12:0;item:break_wood_fragments:1:0;terrain:dig:4:0","6","blunt","4","105","5.2","172","0","fixed","treasure,wood,large,heavy,container,furniture,contact_damage","敵に打撃ダメージ（攻撃力6）｜当てると小銭がこぼれる（35%）｜壊れると多めに小銭が出る｜壊れるとたまに別アイテムが出る（12%）｜壊れると木片が出る｜土を掘れる（掘削力4）","","","","","","","","","","","11","11","11","14","10","11","11","6","4","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_chabudai","ちゃぶ台","宝","丸い低い机。勢いよく当たるとひっくり返り、敵を一瞬止める。","4","13","550","none","enemy:status_stun:1:1.2;item:break_wood_fragments:1:0;terrain:dig:3:0","5","blunt","3","65","2","173","0","spin:80","treasure,wood,medium,round,furniture,contact_damage","敵に打撃ダメージ（攻撃力5）｜ひっくり返って敵を気絶させる（1.2秒）｜壊れると木片が出る｜土を掘れる（掘削力3）","","","","","","","","","9","12","14","9","12","10","5","6","4","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_chandelier","シャンデリア","宝","場違いなほど豪華な照明。割れると炎とガラスが散り、見た目にも派手。","7","19","1200","none","item:break_glass_shards:2:0;item:break_fire_burst:2:4;terrain:dig:3:0","5","fire","3","24","2.8","174","0","fixed","treasure,glass,metal,fire,fragile,large,light_source,contact_damage","敵に火ダメージ（攻撃力5）｜壊れるとガラス片が散る｜壊れると炎が燃え広がる（4秒）｜土を掘れる（掘削力3）","","","","","","","","","","","","11","","12","14","9","16","12","7","10","6","3","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_washing_machine","洗濯機","宝","水音のする機械箱。回転するたび水を外へ放ち、本体は重い塊として敵を殴る。","6","18","970","none","area:water_shot_emitter:0.8:12;terrain:dig:4:0","7","blunt","4","105","5.4","175","0","fixed","treasure,metal,water,mechanical,appliance,large,heavy,contact_damage","敵に打撃ダメージ（攻撃力7）｜土を掘れる（掘削力4）｜一定間隔で外側へ水弾を放ち、当たった敵を水濡れにする（12秒）","","","","","","","","","","","","11","","13","13","11","15","10","7","7","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_microwave","電子レンジ","宝","何かを温め続ける箱。当てた敵を熱で焼き、炎の魔力を漏らす。","6","17","900","none","enemy:status_hot:1:12;terrain:dig:3:0","6","fire","3","75","2.2","176","0","fixed","treasure,metal,fire,mechanical,appliance,medium,contact_damage","敵に火ダメージ（攻撃力6）｜当てた敵を熱々にする（12秒）｜熱々の敵に触れたキャラにもダメージ｜土を掘れる（掘削力3）","","","","","","","","","","","","12","8","15","12","11","13","8","5","5","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_fan","扇風機","宝","羽根の曲がった扇風機。風を起こして、敵を後ろへ押し返す。","4","14","540","none","area:wind_push_light:1.2:0;terrain:dig:2:0","4","wind","2","60","1.1","177","0","fixed","treasure,metal,wind,mechanical,appliance,medium,contact_damage","敵に風ダメージ（攻撃力4）｜軽い敵・弾・アイテムを風で押す｜土を掘れる（掘削力2）","","","","","","","","","8","10","13","10","13","12","7","8","6","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_hair_dryer","ドライヤー","宝","熱風を吐く小さな機械。濡れた敵ほどよく乾き、よく焦げる。","4","14","520","none","area:hot_air:1:12;enemy:dry_wet_bonus_damage:1.5:0;terrain:dig:1:0","4","fire","1","45","0.45","178","0","outward","treasure,metal,fire,wind,small,mechanical,appliance,contact_damage","敵に火ダメージ（攻撃力4）｜熱風で敵を熱々にする（12秒）｜濡れた敵に追加ダメージ（1.5倍）｜土を掘れる（掘削力1）","","","","","","","","","8","10","13","10","13","12","7","8","6","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_junk_game_console","ゲーム機","宝","古いゲーム機。まばゆい画面と電子音で敵の判断を狂わせる。","5","17","790","none","enemy:status_blind:0.4:8;terrain:dig:1:0","4","magic","1","45","0.8","179","0","fixed","treasure,metal,magic,mechanical,small,contact_damage","敵に魔法ダメージ（攻撃力4）｜敵を盲目にする（8秒）｜土を掘れる（掘削力1）","","","","","","","","","","","","11","9","14","11","12","13","7","5","5","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treasure_witch_quill","魔女の羽ペン","宝","白い線を描く魔女の羽ペン。線で丸く囲めば、魔法陣として力を放つ。","8","28","1630","none","ground:draw_white_line:1:0;ground:complete_magic_circle:1:0;terrain:dig:1:0","3","magic","1","35","0.08","180","0","outward","treasure,magic,paper,small,witch_tool","敵に魔法ダメージ（攻撃力3）｜地面に白い線を書く｜丸く囲うと魔法陣を発動する｜土を掘れる（掘削力1）","","","","","","","","","","","","","","","","","","","","","13","","15","15","8","16","12","8","15","9","8","14","8","7","13","8","6","11","7","5","10","6","5","9","5","4","8","5","3","6","4","3","5","3"
"treasure_crystal_ball","水晶玉","宝","まだ割れていない水晶玉。砕ける瞬間だけ、異様に鋭い会心の力を出す。","6","19","1050","none","enemy:forced_critical_hit:1.8:0;item:break_glass_shards:1:0;terrain:dig:2:0","4","magic","2","20","0.35","181","0","spin:90","treasure,glass,stone,magic,fragile,round,medium,contact_damage","敵に魔法ダメージ（攻撃力4）｜割れると確定会心｜壊れるとガラス片が散る｜土を掘れる（掘削力2）","","","","","","","","","","","","10","","11","13","10","15","11","8","9","5","3","3","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
